date,vikings
2004-01,19
2004-02,17
2004-03,16
2004-04,17
2004-05,15
2004-06,13
2004-07,16
2004-08,28
2004-09,33
2004-10,28
2004-11,24
2004-12,22
2005-01,29
2005-02,19
2005-03,18
2005-04,18
2005-05,15
2005-06,12
2005-07,12
2005-08,22
2005-09,25
2005-10,37
2005-11,22
2005-12,22
2006-01,16
2006-02,13
2006-03,17
2006-04,18
2006-05,15
2006-06,11
2006-07,12
2006-08,21
2006-09,28
2006-10,21
2006-11,16
2006-12,15
2007-01,11
2007-02,10
2007-03,11
2007-04,12
2007-05,11
2007-06,9
2007-07,10
2007-08,17
2007-09,23
2007-10,18
2007-11,19
2007-12,23
2008-01,10
2008-02,10
2008-03,11
2008-04,13
2008-05,10
2008-06,8
2008-07,11
2008-08,18
2008-09,23
2008-10,17
2008-11,16
2008-12,26
2009-01,16
2009-02,9
2009-03,10
2009-04,11
2009-05,12
2009-06,11
2009-07,12
2009-08,32
2009-09,33
2009-10,38
2009-11,31
2009-12,36
2010-01,65
2010-02,11
2010-03,10
2010-04,12
2010-05,9
2010-06,7
2010-07,10
2010-08,28
2010-09,45
2010-10,46
2010-11,36
2010-12,54
2011-01,15
2011-02,10
2011-03,7
2011-04,9
2011-05,8
2011-06,6
2011-07,11
2011-08,20
2011-09,25
2011-10,26
2011-11,20
2011-12,18
2012-01,11
2012-02,8
2012-03,10
2012-04,13
2012-05,9
2012-06,7
2012-07,8
2012-08,17
2012-09,28
2012-10,31
2012-11,20
2012-12,30
2013-01,20
2013-02,9
2013-03,29
2013-04,32
2013-05,19
2013-06,16
2013-07,15
2013-08,28
2013-09,38
2013-10,39
2013-11,30
2013-12,29
2014-01,19
2014-02,19
2014-03,30
2014-04,32
2014-05,34
2014-06,18
2014-07,18
2014-08,31
2014-09,48
2014-10,33
2014-11,31
2014-12,31
2015-01,19
2015-02,26
2015-03,34
2015-04,39
2015-05,25
2015-06,21
2015-07,20
2015-08,38
2015-09,50
2015-10,38
2015-11,57
2015-12,58
2016-01,65
2016-02,28
2016-03,36
2016-04,43
2016-05,29
2016-06,24
2016-07,30
2016-08,45
2016-09,74
2016-10,100
